posted_date,posted_amount,messy_memo
2026-05-31,810.27,Inv 493614
2026-05-16,118.41,Inv 7739318
2026-05-06,298.03,Inv 15
2026-05-13,3306.53,Inv 48
2026-05-19,562.06,Inv 923782773
2026-05-19,564.61,Inv 520733
2026-05-13,959.36,693107
2026-05-24,499.47,Inv 583
2026-05-23,108.56,Inv 80446574
2026-05-19,582.75,Inv 520733
2026-05-20,746.81,Inv 113657245
2026-05-16,521.33,Inv 206948982
2026-05-18,521.60,Inv 86
2026-05-20,633.42,Inv 907357
2026-05-05,915.60,Inv 481
2026-05-03,949.10,Inv 4135711071
2026-05-14,985.11,Inv 47805
2026-05-16,588.27,Inv 828
2026-05-13,933.76,Inv 14296238
2026-05-26,486.73,I14422846
2026-05-10,101.09,Revooh
2026-05-06,228.36,Inv 78
2026-05-24,472.66,INV66538
2026-05-26,838.94,Inv 5286418
2026-05-18,314.60,Inv 3530928512
2026-05-26,741.48,Inv 620520507
2026-05-16,285.67,Inv 237224
2026-05-16,737.39,Inv 1627885
2026-05-23,712.35,Inv 5336651986
2026-05-28,816.09,Inv 97002
2026-05-17,802.03,Inv 3324632214
2026-05-23,849.94,Inv 420257
2026-05-23,487.24,Inv 357929687
2026-05-30,165.40,Inv 704
2026-05-15,685.91,Inv 5395538187
2026-05-27,444.67,Inv 5228865
2026-05-26,404.51,Inv 68
2026-05-07,271.41,Inv 7384672007
2026-05-09,997.24,Inv 657534537
2026-05-09,211.39,Inv 445452889
2026-05-19,810.59,Inv 520733
2026-05-21,890.96,Inv 358830740
2026-05-29,775.00,Inv 54
2026-05-30,785.26,Inv 9287283
2026-05-14,820.55,Inv 300
2026-05-06,755.75,Inv 1336
2026-05-18,1218.64,Inv 231
2026-05-11,877.19,Inv 62
2026-05-13,3530.06,Inv 222212105
2026-05-24,680.76,Inv 6543
2026-05-06,86.66,Inv 78
2026-05-13,694.13,Inv 393
2026-05-18,2337.85,Inv 2802715293
2026-05-02,222.44,Inv 32
2026-05-19,770.73,Inv 664609974
2026-05-22,43.50,#721637
2026-05-14,161.02,Inv 55613
2026-05-07,245.02,Inv 9148
2026-05-22,706.25,Inv 628
2026-05-04,114.86,Inv 77307
2026-05-09,333.53,Inv 445452889
2026-05-25,645.91,Inv 875200
2026-05-31,249.66,Inv 948
2026-05-27,433.18,Inv 614510
2026-05-23,201.57,Inv 5336651986
2026-05-26,17.58,Inv 3581706
2026-05-23,125.06,Inv 8905550274
2026-05-22,489.15,Inv 79022
2026-05-06,380.58,Inv 1370804
2026-05-16,909.31,Inv 3626
2026-05-09,766.72,Inv 538393751
2026-05-07,725.37,Inv 883478
2026-05-17,751.60,Inv 85
2026-05-06,905.17,Inv 9167
2026-05-25,856.52,Inv 596275
2026-05-24,390.46,Inv 97820
2026-05-12,304.12,Inv 646630687
2026-05-27,93.55,Inv 207775816
2026-05-24,311.72,Inv 56
2026-05-02,373.75,Inv 32
2026-05-30,279.19,#4453
2026-05-14,549.40,Inv 55613
2026-05-21,310.06,Inv 6361942
2026-05-17,47.60,Inv 593280
2026-05-20,27.83,Inv 57255988
2026-05-24,846.15,Inv 193279
2026-05-01,630.17,I59605231
2026-05-02,226.75,Inv 32
2026-05-19,13.71,Inv 520733
2026-05-07,72.47,Inv 39296
2026-05-27,252.99,Inv 81059758
2026-05-30,57.92,Inv 33075162
2026-05-22,576.86,Inv 57
2026-05-11,46.80,Inv 1046402447
2026-05-20,881.15,Inv 77
2026-05-14,683.63,Inv 55613
2026-05-06,393.32,Inv 52
2026-05-30,611.69,Inv 844848
2026-05-21,745.64,Inv 9304210
2026-05-07,706.02,Inv 612221210
2026-05-08,256.40,Inv 546194
2026-05-18,815.48,Inv 86
2026-05-18,175.89,Inv 49884424
2026-05-17,949.36,I240
2026-05-07,1090.89,Inv 94863628
2026-05-21,108.07,Inv 6293250
2026-05-12,947.16,Inv 646630687
2026-05-25,71.11,Eromllif
2026-05-09,823.69,Inv 538393751
2026-05-28,950.77,Inv 6739046
2026-05-12,847.40,I64906
2026-05-29,764.18,Inv 989841
2026-05-09,203.32,Inv 45
2026-05-06,725.54,Inv 665579
2026-05-23,772.92,Inv 5123732
2026-05-19,839.40,Inv 8899704
2026-05-14,243.49,Inv 55613
2026-05-02,168.28,Inv 35476
2026-05-28,263.89,Inv 6739046
2026-05-13,478.55,I5320341
2026-05-14,935.31,850762
2026-05-21,730.03,Inv 336
2026-05-02,81.25,Inv 32
2026-05-08,13.13,Inv 802133914
2026-05-25,1389.49,Inv 986196640
2026-05-11,3132.57,Inv 3550159
2026-05-24,756.89,Inv 4452904499
2026-05-17,829.62,Inv 727480323
2026-05-12,223.26,Inv 646630687
2026-05-04,112.31,Inv 9893433
2026-05-24,730.61,Inv 6543
2026-05-25,850.89,Inv 24
2026-05-14,697.48,Inv 55613
2026-05-24,581.47,Inv 6543
2026-05-23,853.11,Inv 5336651986
2026-05-22,760.70,Inv 36
2026-05-03,468.99,Inv 6335253
2026-05-10,801.87,Inv 134006
2026-05-01,-300.00,Inv 21
2026-05-09,62.41,Inv 43135370
2026-05-25,315.01,INV9785
2026-05-16,647.31,Inv 1627885
2026-05-09,392.51,Inv 8976
2026-05-23,814.71,Inv 8905550274
2026-05-09,606.54,Inv 538393751
2026-05-28,964.67,Inv 16533
2026-05-07,267.82,Inv 96
2026-05-06,631.46,Inv 15
2026-05-13,873.39,Inv 3267
2026-05-10,1638.14,Inv 94
2026-05-30,611.72,#3885158
2026-05-25,897.35,I584292
2026-05-27,294.31,Inv 783877
2026-05-01,101.30,Inv 1523
2026-05-23,975.81,Inv 5336651986
2026-05-22,2726.37,Inv 716066494
2026-05-14,574.86,Inv 1201968416
2026-05-04,339.21,Inv 1686448480
2026-05-19,753.52,Inv 520733
2026-05-09,546.04,Inv 73919
2026-05-09,785.53,79825
2026-05-09,666.26,Inv 445452889
2026-05-12,155.58,Inv 89
2026-05-15,425.01,Inv 196913
2026-05-02,169.46,264722
2026-05-28,187.91,Inv 62590921
2026-05-16,759.32,Inv 1627885
2026-05-13,795.46,Inv 67641
2026-05-26,616.91,Inv 8303
2026-05-17,14.88,#439
2026-05-22,10.34,Inv 83
2026-05-27,111.77,Inv 783877
2026-05-15,613.04,Inv 158
2026-05-14,345.67,Inv 640209
2026-05-18,849.62,Inv 790839662
2026-05-02,292.02,Inv 32
2026-05-08,7.29,Inv 90912700
2026-05-01,300.00,Inv 21
2026-05-05,24.20,Inv 21
2026-05-10,978.76,Inv 1983257341
2026-05-24,128.21,Inv 6543
2026-05-07,848.99,Inv 608814
2026-05-25,863.43,Inv 79774272
2026-05-26,961.95,Inv 94404
2026-05-10,745.58,Inv 9685470
2026-05-20,833.35,Inv 700
2026-05-23,582.04,Inv 5336651986
2026-05-10,786.46,Inv 2091
2026-05-08,793.16,INV54697
2026-05-16,541.35,I644443
2026-05-24,306.16,Inv 6543
2026-05-23,608.11,Nedib
2026-05-24,558.58,Inv 931026161
2026-05-17,366.44,Inv 36
2026-05-21,778.97,I582
2026-05-23,940.09,Inv 8905550274
2026-05-10,803.10,#9562
2026-05-24,192.96,Inv 82
2026-05-29,781.64,Inv 667
2026-05-13,24.53,Inv 8920030031
2026-05-18,1543.07,Inv 40
2026-05-11,788.01,Inv 4134
2026-05-05,179.77,Inv 8701299479
2026-05-24,607.46,Inv 8987
2026-05-16,933.88,Inv 6030
