gl_date,amount,main_memo,line_memo
2026-05-25,444.67,Guava Eisenhower,Inv 5228865
2026-05-14,879.52,Zadkiel Taft,Inv 47805
2026-05-24,846.15,Okra Roosevelt,Inv 193279
2026-05-06,755.75,Carrot Eisenhower,Inv 1336
2026-05-09,788.01,Raspberry Pierce,Inv 4134
2026-05-10,997.24,Papaya Grant,Inv 657534537
2026-05-19,760.70,Fig Monroe,Inv 36
2026-05-20,633.42,Shallot Kennedy,Inv 907357
2026-05-23,404.51,Elderberry Arthur,Inv 68
2026-05-18,615.66,Raguel Jackson,Inv 2802715293
2026-05-23,849.94,Radish McKinley,Inv 420257
2026-05-18,118.46,Selaphiel Lincoln,Inv 40
2026-05-16,425.01,Raspberry Buchanan,Inv 196913
2026-05-13,990.12,Remiel Nixon,Inv 48
2026-05-17,770.73,Kiwi Taylor,Inv 664609974
2026-05-18,976.01,Raphael Clinton,Inv 231
2026-05-07,72.47,Kale Garfield,Inv 39296
2026-05-23,772.92,Carrot Kennedy,Inv 5123732
2026-05-14,935.31,Jagged Nixon,Inv 00850762
2026-05-04,112.31,Spinach Hoover,Inv 9893433
2026-05-18,877.19,Zadkiel Jefferson,Inv 40
2026-05-22,746.81,Raspberry Adams,Inv 113657245
2026-05-18,80.62,Metatron Fillmore,Inv 2802715293
2026-05-14,345.67,Radish McKinley,Inv 640209
2026-05-07,267.82,Cabbage Reagan,Inv 96
2026-05-22,487.24,Tangerine Coolidge,Inv 357929687
2026-05-11,935.28,Zadkiel McKinley,Inv 3550159
2026-05-02,1196.21,Sycamore Pierce,Inv 32
2026-05-03,949.10,Cabbage Clinton,Inv 4135711071
2026-05-13,456.48,Selaphiel Pierce,Inv 14296238
2026-05-14,46.80,Banana Clinton,Inv 1046402447
2026-05-12,820.55,Cherry Hoover,Inv 300
2026-05-15,285.67,Honeydew Eisenhower,Inv 237224
2026-05-22,523.19,Raphael Carter,Inv 716066494
2026-05-26,804.32,Raguel Truman,Inv 94404
2026-05-07,271.41,Celery Adams,Inv 7384672007
2026-05-02,339.21,Cherry Madison,Inv 1686448480
2026-05-22,725.31,Ariel Truman,Inv 716066494
2026-05-13,-100.00,Harry40,Inv 3653312
2026-05-14,2335.02,Birch Biden,Inv 55613
2026-05-08,256.40,Parsnip Nixon,Inv 546194
2026-05-27,850.89,Elderberry Washington,Inv 24
2026-05-30,611.76,Grover1747362029,Inv 844848
2026-05-24,499.47,Carrot Nixon,Inv 583
2026-05-22,27.83,Guava Polk,Inv 57255988
2026-05-16,802.03,Mango McKinley,Inv 3324632214
2026-05-06,915.60,Cherry Taft,Inv 481
2026-05-11,333.90,Camael Washington,Inv 3550159
2026-05-02,168.28,Artichoke Ford,Inv 35476
2026-05-23,745.64,Quince Pierce,Inv 9304210
2026-05-10,427.08,Ariel Clinton,Inv 94
2026-05-13,380.94,Sandalphon Bush,Inv 222212105
2026-05-27,741.48,Kiwi Harrison,Inv 620520507
2026-05-19,562.06,Spinach Harding,Inv 923782773
2026-05-14,315.01,Gladly Roosevelt,Inv 000009785
2026-05-03,630.17,Openly Adams,Inv 00059605231
2026-05-29,279.19,Wearily Hayes,Inv 000004453
2026-05-19,839.40,Radish Clinton,Inv 8899704
2026-05-08,43.50,Faintly Jackson,Inv 00000721637
2026-05-21,252.51,Uriel Bush,Inv 358830740
2026-05-17,14.88,Prudent Arthur,Inv 00439
2026-05-07,638.69,Jophiel Obama,Inv 94863628
2026-05-25,706.25,Fig Washington,Inv 628
2026-05-26,57.38,Barachiel Eisenhower,Inv 94404
2026-05-02,793.16,Gladly Arthur,Inv 00054697
2026-05-23,730.03,Raspberry Adams,Inv 336
2026-05-23,833.35,Honeydew Carter,Inv 700
2026-05-16,2144.02,Maple Jefferson,Inv 1627885
2026-05-08,781.64,Primofiori Carter,Inv 667
2026-05-26,877.19,Lisbon Pierce,Inv 62
2026-05-23,3324.88,Cedar Washington,Inv 5336651986
2026-05-11,379.10,Remiel Roosevelt,Inv 3550159
2026-05-13,816.36,Azrael Eisenhower,Inv 3267
2026-05-10,245.02,Damson Clinton,Inv 9148
2026-05-09,785.53,Stubborn Taft,Inv 0079825
2026-05-08,7.29,Okra Jefferson,Inv 90912700
2026-05-16,933.88,Rutabaga Grant,Inv 6030
2026-05-04,706.02,Elderberry Cleveland,Inv 612221210
2026-05-17,366.44,Okra Truman,Inv 36
2026-05-26,486.73,Solemn Clinton,Inv 0000014422846
2026-05-09,1211.18,Sycamore Cleveland,Inv 445452889
2026-05-21,310.06,Celery Fillmore,Inv 6361942
2026-05-13,946.20,Raguel Bush,Inv 48
2026-05-23,856.52,Nectarine Grant,Inv 596275
2026-05-22,645.91,Papaya Roosevelt,Inv 875200
2026-05-29,764.18,Celery Adams,Inv 989841
2026-05-26,616.87,Millard8517221930834,Inv 8303
2026-05-14,24.53,Elderberry Arthur,Inv 8920030031
2026-05-10,542.42,Ariel Wilson,Inv 94
2026-05-03,468.99,Shallot Grant,Inv 6335253
2026-05-20,881.15,Carrot Grant,Inv 77
2026-05-13,801.87,Tangerine Kennedy,Inv 134006
2026-05-31,810.27,Radish Eisenhower,Inv 493614
2026-05-13,938.38,Jophiel Taylor,Inv 48
2026-05-17,949.36,Curious Biden,Inv 000240
2026-05-31,118.41,Eureka Buchanan,Inv 7739318
2026-05-30,57.92,Fennel Nixon,Inv 33075162
2026-05-27,406.08,Poplar Carter,Inv 783877
2026-05-18,314.60,Rutabaga Adams,Inv 3530928512
2026-05-30,785.29,James27588,Inv 9287283
2026-05-05,725.54,Papaya Fillmore,Inv 665579
2026-05-05,24.20,Cabbage Grant,Inv 21
2026-05-23,1879.86,Birch Jefferson,Inv 8905550274
2026-05-15,909.31,Apple Hoover,Inv 3626
2026-05-24,756.89,Kale Truman,Inv 4452904499
2026-05-04,489.15,Primofiori Bush,Inv 79022
2026-05-24,472.66,Happy Carter,Inv 0000066538
2026-05-22,96.03,Sandalphon Carter,Inv 716066494
2026-05-05,108.07,Harvey Polk,Inv 6293250
2026-05-27,611.72,Gladly Eisenhower,Inv 003885158
2026-05-13,100.00,Harry40,Inv 3653312
2026-05-24,2427.21,Magnolia Bush,Inv 6543
2026-05-13,57.03,Metatron Eisenhower,Inv 3267
2026-05-07,318.24,Sandalphon Buchanan,Inv 94863628
2026-05-26,838.94,Turnip Obama,Inv 5286418
2026-05-07,133.96,Ariel Taft,Inv 94863628
2026-05-25,834.73,Michael Madison,Inv 986196640
2026-05-25,17.58,Papaya Polk,Inv 3581706
2026-05-06,315.02,Spruce Roosevelt,Inv 78
2026-05-07,848.99,Artichoke Cleveland,Inv 608814
2026-05-22,108.56,Guava Obama,Inv 80446574
2026-05-10,694.13,Quince Arthur,Inv 393
2026-05-03,728.63,Dleifrag Noskcaj,Retrac
2026-05-09,545.95,Chester6604587446176,Inv 73919
2026-05-13,472.09,Barachiel Madison,Inv 222212105
2026-05-13,886.12,Remiel Wilson,Inv 222212105
2026-05-07,13.13,Damson Pierce,Inv 802133914
2026-05-19,521.33,Elderberry Truman,Inv 206948982
2026-05-26,100.25,Raguel Buchanan,Inv 94404
2026-05-18,204.99,Raguel Washington,Inv 231
2026-05-10,803.10,Brittle Ford,Inv 009562
2026-05-15,613.04,Radish Bush,Inv 158
2026-05-11,775.66,Zadkiel Washington,Inv 3550159
2026-05-22,509.81,Remiel Arthur,Inv 716066494
2026-05-21,175.89,Damson Harrison,Inv 49884424
2026-05-27,558.58,Papaya Obama,Inv 931026161
2026-05-12,816.09,Avalon Hoover,Inv 97002
2026-05-24,311.72,Leek Carter,Inv 56
2026-05-04,114.86,Turnip Bush,Inv 77307
2026-05-12,847.40,Anxious Biden,Inv 00064906
2026-05-13,999.80,Gabriel Roosevelt,Inv 222212105
2026-05-26,433.18,Nectarine Obama,Inv 614510
2026-05-31,655.39,Revooh Nosirrah,Yelnikcm
2026-05-18,547.42,Azrael Wilson,Inv 40
2026-05-27,252.99,Celery Kennedy,Inv 81059758
2026-05-25,897.35,Stubborn Eisenhower,Inv 00584292
2026-05-18,245.98,Michael Grant,Inv 2802715293
2026-05-09,392.51,Fennel Nixon,Inv 8976
2026-05-06,905.17,Leek Polk,Inv 9167
2026-05-17,47.60,Turnip Hayes,Inv 593280
2026-05-18,1337.08,Willow Harrison,Inv 86
2026-05-18,37.64,Gabriel Truman,Inv 231
2026-05-09,607.46,Primofiori Ford,Inv 8987
2026-05-25,187.91,Guava Biden,Inv 62590921
2026-05-15,685.91,Kale Obama,Inv 5395538187
2026-05-24,192.96,Spinach Washington,Inv 82
2026-05-17,829.62,Endive McKinley,Inv 727480323
2026-05-19,169.46,Wearily Biden,Inv 00264722
2026-05-18,849.62,Kale Garfield,Inv 790839662
2026-05-09,380.58,Apple Grant,Inv 1370804
2026-05-10,978.76,Artichoke Coolidge,Inv 1983257341
2026-05-13,791.11,Selaphiel Truman,Inv 222212105
2026-05-10,165.40,Ponderosa Truman,Inv 704
2026-05-16,751.60,Papaya Hoover,Inv 85
2026-05-29,775.00,Leek McKinley,Inv 54
2026-05-04,959.36,Neatly Jackson,Inv 00000693107
2026-05-19,2725.18,Aspen Wilson,Inv 520733
2026-05-13,81.42,Raguel Tyler,Inv 48
2026-05-21,638.45,Barachiel Grant,Inv 358830740
2026-05-14,574.86,Parsnip Jefferson,Inv 1201968416
2026-05-11,708.63,Selaphiel Clinton,Inv 3550159
2026-05-06,929.49,Sycamore Wilson,Inv 15
2026-05-16,778.97,Sternly Washington,Inv 0000582
2026-05-11,786.46,Quince Truman,Inv 2091
2026-05-16,795.46,Raspberry Arthur,Inv 67641
2026-05-13,477.28,Gabriel Jackson,Inv 14296238
2026-05-24,390.46,Spinach Adams,Inv 97820
2026-05-18,585.59,Ariel Roosevelt,Inv 2802715293
2026-05-09,964.67,Eureka McKinley,Inv 16533
2026-05-19,10.34,Papaya Monroe,Inv 83
2026-05-28,1214.66,Poplar Adams,Inv 6739046
2026-05-22,872.03,Jophiel Coolidge,Inv 716066494
2026-05-10,668.64,Gabriel Harrison,Inv 94
2026-05-06,725.37,Damson Garfield,Inv 883478
2026-05-12,1474.54,Alder Reagan,Inv 646630687
2026-05-11,745.58,Quince Madison,Inv 9685470
2026-05-12,155.58,Shallot Roosevelt,Inv 89
2026-05-05,179.77,Parsnip Polk,Inv 8701299479
2026-05-31,249.66,Fennel Garfield,Inv 948
2026-05-18,810.00,Gabriel Nixon,Inv 2802715293
2026-05-10,423.61,Rewohnesie Smada,Notnilc
2026-05-09,62.41,Carrot Harding,Inv 43135370
2026-05-23,576.86,Guava Harrison,Inv 57
2026-05-25,554.76,Metatron Nixon,Inv 986196640
2026-05-09,393.32,Honeydew Truman,Inv 52
2026-05-27,93.55,Rutabaga Lincoln,Inv 207775816
2026-05-13,350.41,Barachiel Taft,Inv 48
2026-05-17,588.27,Apple Cleveland,Inv 828
2026-05-06,203.32,Kiwi Ford,Inv 45
2026-05-14,105.59,Michael Cleveland,Inv 47805
2026-05-25,863.35,Woodrow616687087961,Inv 79774272
2026-05-16,541.35,Anxious Reagan,Inv 000644443
2026-05-09,2196.95,Hemlock Fillmore,Inv 538393751
2026-05-18,101.30,Femminello Jefferson,Inv 1523
2026-05-25,478.55,Neatly Roosevelt,Inv 000005320341
